,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,5.0,B,42.4019,-111.0619,20120416,20120416,16007.0,20120416,90.0,-63.0,26.0,0.0,1.8882008,85.0
1,0.1,A,42.05388889,-111.46222222,20140803,20140803,16007.0,20140803,278.0,72.0,184.0,0.0,1.8741729,65.25
2,3.0,B,42.0578,-111.2508,20140817,20140817,16007.0,20140817,252.0,59.0,163.0,0.0,1.5009716999999998,125.0
3,0.2,A,42.05361111,-111.46194444,20130804,20130804,16007.0,20130804,267.0,56.0,168.0,0.0,1.6368585,106.25
4,0.1,A,42.04638889,-111.45027778,20150808,20150808,16007.0,20150808,175.0,57.0,107.0,0.0,2.2461078,86.0
5,1.0,B,42.05083333,-111.46138889,20150809,20150809,16007.0,20150809,221.0,42.0,131.0,0.0,2.576941,86.0
6,0.3,B,42.24833333,-111.51055556,20150705,20150705,16007.0,20150705,209.0,112.0,153.0,51.0,1.8607793,113.5
7,0.1,A,42.05444444,-111.46222222,20130804,20130804,16007.0,20130804,267.0,56.0,168.0,0.0,1.6368585,106.25
8,0.1,A,42.05472222,-111.46222222,20140803,20140803,16007.0,20140803,278.0,72.0,184.0,0.0,1.8741729,65.25
9,0.1,A,42.04033,-111.42897,20130804,20130804,16007.0,20130804,267.0,56.0,168.0,0.0,1.6368585,106.25
10,27.0,C,42.2061,-111.3575,20150817,20150817,16007.0,20150817,223.0,53.0,133.0,0.0,2.4790373,125.0
11,0.1,A,42.05916667,-111.46194444,20140803,20140803,16007.0,20140803,278.0,72.0,184.0,0.0,1.8741729,65.25
12,0.0333333333333333,A,42.52083333,-111.58694444,20140703,20140705,16007.0,20140705,268.0,81.0,181.0,0.0,2.482117,129.333
13,0.1,A,42.04638889,-111.45,20130804,20130804,16007.0,20130804,267.0,56.0,168.0,0.0,1.6368585,106.25
14,0.5,B,42.08055556,-111.53333333,20150928,20150928,16007.0,20150928,216.0,63.0,129.0,76.0,1.2103716999999998,98.5
15,0.2,A,42.05027778,-111.4575,20130804,20130804,16007.0,20130804,267.0,56.0,168.0,0.0,1.6368585,106.25
16,0.2,A,42.05388889,-111.46166667,20140803,20140803,16007.0,20140803,278.0,72.0,184.0,0.0,1.8741729,65.25
17,0.2,A,42.05055556,-111.45805556,20130804,20130804,16007.0,20130804,267.0,56.0,168.0,0.0,1.6368585,106.25
18,0.1,A,42.4969444,-111.593611,20100812,20100812,16007.0,20100812,182.0,29.0,96.0,0.0,3.5106902,152.0
19,0.4,A,42.06416667,-111.46444444,20130804,20130804,16007.0,20130804,267.0,56.0,168.0,0.0,1.6368585,106.25
20,0.1,A,42.54444444,-111.42638889,20140621,20140621,16007.0,20140621,230.0,52.0,140.0,0.0,3.3209634,84.25
21,0.1,A,42.2164,-111.4405,20140804,20140804,16007.0,20140804,205.0,115.0,149.0,51.0,0.90935016,65.25
22,0.1,A,42.08583333,-111.48916667,20150710,20150710,16007.0,20150710,205.0,63.0,122.0,25.0,2.6050432,110.0
23,0.25,A,42.345,-111.60833333,20151002,20151002,16007.0,20151002,139.0,68.0,82.0,102.0,3.9176683,97.75
24,0.1,A,42.0675,-111.46861111,20130804,20130804,16007.0,20130804,267.0,56.0,168.0,0.0,1.6368585,106.25
25,0.0333333333333333,A,42.52083333,-111.58694444,20140703,20140705,16007.0,20140704,281.0,106.0,176.0,0.0,3.4294010000000004,129.333
26,41.5,C,42.3533,-111.1208,20150420,20150421,16007.0,20150420,141.0,-23.0,61.0,0.0,2.9900877,178.5
27,0.1,A,42.23611111,-111.53972222,20140710,20140710,16007.0,20140710,253.0,106.0,164.0,0.0,1.4722035,101.142999999999
28,0.1,A,42.05277778,-111.46166667,20120903,20120903,16007.0,20120903,233.0,29.0,135.0,0.0,1.8569124,64.75
29,0.2,A,42.06194444,-111.46305556,20130804,20130804,16007.0,20130804,267.0,56.0,168.0,0.0,1.6368585,106.25
30,41.5,C,42.3533,-111.1208,20150420,20150421,16007.0,20150421,164.0,-27.0,72.0,0.0,2.85679,178.5
31,2.0,B,42.0821,-111.447097,20130721,20130721,16007.0,20130721,274.0,59.0,175.0,0.0,3.6605089,121.5
32,0.1,A,42.3936111,-111.499722,20100718,20100718,16007.0,20100718,272.0,91.0,176.0,0.0,1.5438231000000002,101.5
33,0.3,A,42.05333333,-111.465,20130804,20130804,16007.0,20130804,267.0,56.0,168.0,0.0,1.6368585,106.25
34,0.1,A,42.05416667,-111.46222222,20140803,20140803,16007.0,20140803,278.0,72.0,184.0,0.0,1.8741729,65.25
35,0.1,A,42.54361111,-111.42527778,20140621,20140621,16007.0,20140621,230.0,52.0,140.0,0.0,3.3209634,84.25
36,0.0333333333333333,A,42.52083333,-111.58694444,20140703,20140705,16007.0,20140703,286.0,86.0,171.0,0.0,4.174128,129.333
37,0.1,A,42.05027778,-111.45777778,20140803,20140803,16007.0,20140803,278.0,72.0,184.0,0.0,1.8741729,65.25
38,0.1,A,42.0625,-111.46333333,20130804,20130804,16007.0,20130804,267.0,56.0,168.0,0.0,1.6368585,106.25
39,0.1,A,42.04972222,-111.4575,20140803,20140803,16007.0,20140803,278.0,72.0,184.0,0.0,1.8741729,65.25
40,0.1,A,42.295,-111.51388889,20140706,20140706,16007.0,20140706,283.0,86.0,182.0,0.0,2.517936,129.333
41,0.1,A,42.2325,-111.55694444,20140814,20140814,16007.0,20140814,234.0,89.0,158.0,0.0,2.9125488,110.0
42,0.2,A,42.05,-111.4575,20140803,20140803,16007.0,20140803,278.0,72.0,184.0,0.0,1.8741729,65.25
43,2.5357142857142856,D,42.17194444,-111.57083333,20060826,20061020,16007.0,20060923,114.0,-18.0,47.0,0.0,0.85375744,154.0
44,62.41666666666666,E,42.51944444,-111.06611111,20000807,20000818,16007.0,20000812,297.0,61.0,180.0,0.0,3.8354387,106.0
45,7.5,C,42.0713,-111.1271,19991009,19991010,16007.0,19991010,223.0,17.0,102.0,0.0,1.031216,84.5
46,1.12,B,42.51694444,-111.62027778,20130725,20130729,16007.0,20130728,231.0,72.0,132.0,51.0,3.9118385,137.75
47,52.75,D,42.1636,-111.4105,20120802,20120805,16007.0,20120803,241.0,70.0,149.0,0.0,3.181476,78.0
48,82.33333333333333,D,42.1239,-111.1017,20090725,20090727,16007.0,20090726,267.0,85.0,168.0,0.0,2.03652,80.0
49,62.41666666666666,E,42.51944444,-111.06611111,20000807,20000818,16007.0,20000809,306.0,103.0,204.0,0.0,2.1107905,93.0
50,0.1,A,42.19388889,-111.59138889,20020630,20020630,16007.0,20020630,269.0,76.0,181.0,0.0,2.4189653,113.5
