,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130803,221.0,85.0,142.0,76.0,2.2271936,88.429
5,0.25,A,35.12083333,-108.03944444,20130710,20130710,35006.0,20130710,264.0,132.0,194.0,0.0,2.4566047,87.286
6,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130729,232.0,99.0,159.0,0.0,3.2800646,88.429
8,0.009090909090909,A,34.9428,-108.1605,20130805,20130815,35006.0,20130814,241.0,96.0,163.0,0.0,0.9640066,88.429
9,0.009090909090909,A,34.8303,-107.8983,20100731,20100810,35006.0,20100801,194.0,115.0,138.0,102.0,1.8133978,101.142999999999
11,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130809,220.0,84.0,144.0,25.0,1.624306,88.429
12,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130814,241.0,96.0,163.0,0.0,0.9640066,88.429
13,0.1,A,35.285,-108.14527778,20130531,20130531,35006.0,20130531,225.0,62.0,146.0,0.0,3.1306415000000003,76.667
14,1.3,B,35.26166667,-108.46583333,20130524,20130524,35006.0,20130524,236.0,50.0,144.0,0.0,2.0248532,82.462
16,0.009090909090909,A,34.8303,-107.8983,20100731,20100810,35006.0,20100802,209.0,96.0,147.0,51.0,1.5182189,100.571
17,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130801,220.0,111.0,157.0,0.0,2.1107905,88.429
18,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130804,249.0,100.0,150.0,0.0,0.61465955,88.429
20,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130724,238.0,113.0,159.0,0.0,2.044817,88.429
22,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130727,224.0,111.0,159.0,25.0,2.0131648,88.429
23,0.009090909090909,A,34.8303,-107.8983,20100731,20100810,35006.0,20100806,231.0,87.0,151.0,0.0,0.5939671,100.571
25,0.009090909090909,A,34.8303,-107.8983,20100731,20100810,35006.0,20100809,210.0,90.0,146.0,0.0,1.6980542,100.571
29,0.009090909090909,A,34.9428,-108.1605,20130805,20130815,35006.0,20130815,252.0,100.0,165.0,0.0,1.3462975,87.286
30,0.009090909090909,A,34.8303,-107.8983,20100731,20100810,35006.0,20100803,218.0,95.0,149.0,51.0,1.1257975,100.571
33,0.05,A,34.8086,-108.1943,20130702,20130703,35006.0,20130702,263.0,95.0,159.0,127.0,1.9962522,87.286
34,0.05,A,34.8086,-108.1943,20130702,20130703,35006.0,20130703,261.0,84.0,181.0,0.0,1.6719546000000003,87.286
35,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130712,236.0,104.0,161.0,127.0,1.5720694,88.429
36,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130812,226.0,94.0,150.0,25.0,1.229998,88.429
38,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130725,249.0,106.0,170.0,25.0,0.95525265,88.429
40,0.009090909090909,A,34.9428,-108.1605,20130805,20130815,35006.0,20130807,164.0,86.0,119.0,25.0,2.2106438,88.429
41,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130815,252.0,100.0,165.0,0.0,1.3462975,87.286
44,0.0116550116550115,A,34.9428,-108.1605,20130708,20130815,35006.0,20130811,199.0,74.0,133.0,25.0,1.4797983,88.429
45,0.009090909090909,A,34.9428,-108.1605,20130805,20130815,35006.0,20130812,226.0,94.0,150.0,25.0,1.229998,88.429
46,0.009090909090909,A,34.8303,-107.8983,20100731,20100810,35006.0,20100808,191.0,85.0,132.0,25.0,1.9101908,100.571
47,0.009090909090909,A,34.8303,-107.8983,20100731,20100810,35006.0,20100731,226.0,103.0,153.0,305.0,0.7262270000000001,101.142999999999
49,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130807,164.0,86.0,119.0,25.0,2.2106438,88.429
50,0.1,A,34.6134,-108.405767,20130702,20130702,35006.0,20130702,263.0,95.0,159.0,127.0,1.9962522,87.286
53,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130726,241.0,108.0,148.0,25.0,0.7716261,88.429
59,0.009090909090909,A,34.9428,-108.1605,20130805,20130815,35006.0,20130805,218.0,71.0,147.0,381.0,1.1101854,87.286
60,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130711,254.0,137.0,177.0,0.0,1.8506818,87.286
61,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130716,207.0,99.0,149.0,0.0,1.8250831000000003,88.429
62,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130721,229.0,103.0,149.0,25.0,2.0896897,88.429
64,0.1,A,34.599567,-108.400183,20130702,20130702,35006.0,20130702,263.0,95.0,159.0,127.0,1.9962522,87.286
65,0.01,A,34.98611111,-106.31694444,20130523,20130523,35006.0,20130523,244.0,60.0,151.0,0.0,1.0394266,82.462
66,0.009090909090909,A,34.9428,-108.1605,20130805,20130815,35006.0,20130808,207.0,81.0,136.0,25.0,2.287113,88.429
68,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130714,252.0,92.0,151.0,51.0,0.7368140999999999,88.429
69,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130808,207.0,81.0,136.0,25.0,2.287113,88.429
70,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130718,232.0,101.0,160.0,0.0,2.26073,88.429
73,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130728,216.0,107.0,155.0,0.0,2.3654664,88.429
74,0.1,A,34.9153,-108.0242,20130616,20130616,35006.0,20130616,248.0,77.0,158.0,0.0,1.7195714,88.429
75,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130802,225.0,90.0,133.0,229.0,1.893907,88.429
76,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130713,234.0,98.0,142.0,305.0,0.8598271999999999,88.429
77,0.009090909090909,A,34.8303,-107.8983,20100731,20100810,35006.0,20100804,237.0,102.0,159.0,0.0,0.57306135,100.571
78,0.25,A,35.19111111,-107.76972222,20130413,20130413,35006.0,20130413,138.0,-14.0,73.0,76.0,1.8239588,74.833
79,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130720,223.0,107.0,140.0,203.0,2.089719,88.429
80,0.009090909090909,A,34.9428,-108.1605,20130805,20130815,35006.0,20130809,220.0,84.0,144.0,25.0,1.624306,88.429
81,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130731,259.0,101.0,176.0,0.0,0.72449756,88.429
86,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130710,264.0,132.0,194.0,0.0,2.4566047,87.286
87,0.009090909090909,A,34.8303,-107.8983,20100731,20100810,35006.0,20100807,224.0,97.0,146.0,51.0,1.4577359,100.571
88,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130709,283.0,113.0,189.0,0.0,0.17719956,87.286
89,0.1,A,35.2230556,-107.733056,20101002,20101002,35006.0,20101002,229.0,81.0,129.0,0.0,1.5254263,90.1429999999999
91,0.009090909090909,A,34.8303,-107.8983,20100731,20100810,35006.0,20100810,225.0,92.0,152.0,0.0,1.3473708999999998,93.7689999999999
93,0.009090909090909,A,34.9428,-108.1605,20130805,20130815,35006.0,20130810,213.0,95.0,132.0,0.0,2.481712,88.429
94,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130805,218.0,71.0,147.0,381.0,1.1101854,87.286
95,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130723,262.0,102.0,178.0,0.0,0.60407543,88.429
96,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130810,213.0,95.0,132.0,0.0,2.481712,88.429
97,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130722,236.0,98.0,154.0,0.0,0.87823135,88.429
100,0.1,A,35.32666667,-107.59944444,20120523,20120523,35006.0,20120523,230.0,105.0,166.0,0.0,5.524505,82.286
101,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130715,216.0,98.0,141.0,0.0,2.8569996,88.429
103,0.1,A,35.16833333,-108.21722222,20120707,20120707,35006.0,20120707,194.0,109.0,141.0,127.0,2.431827,86.429
107,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130719,249.0,98.0,167.0,0.0,1.3845162,88.429
111,0.1,A,35.29333333,-107.59944444,20120601,20120601,35006.0,20120601,271.0,72.0,175.0,0.0,2.4639993,89.6
112,0.25,A,35.14111111,-108.02638889,20130710,20130710,35006.0,20130710,264.0,132.0,194.0,0.0,2.4566047,87.286
113,0.009090909090909,A,34.9428,-108.1605,20130805,20130815,35006.0,20130813,243.0,95.0,153.0,25.0,0.6499939,88.429
118,0.3,B,34.61308,-107.82808,20130617,20130617,35006.0,20130617,254.0,98.0,169.0,0.0,0.62800884,88.429
119,0.009090909090909,A,34.8303,-107.8983,20100731,20100810,35006.0,20100805,213.0,105.0,140.0,0.0,0.5990867,100.571
120,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130708,260.0,131.0,184.0,0.0,1.3509318,87.286
122,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130717,220.0,111.0,154.0,0.0,2.2278473,88.429
123,0.009090909090909,A,34.9428,-108.1605,20130805,20130815,35006.0,20130806,203.0,81.0,131.0,25.0,1.8006973999999998,88.429
125,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130813,243.0,95.0,153.0,25.0,0.6499939,88.429
126,0.1,A,34.94469,-107.82033,20120420,20120420,35006.0,20120420,175.0,16.0,92.0,0.0,1.627815,79.0
129,0.01,A,35.24694444,-107.725,20130708,20130708,35006.0,20130708,260.0,131.0,184.0,0.0,1.3509318,87.286
130,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130806,203.0,81.0,131.0,25.0,1.8006973999999998,88.429
132,0.0025641025641025,A,34.9428,-108.1605,20130708,20130815,35006.0,20130730,254.0,100.0,170.0,0.0,2.3796644,88.429
135,0.0833333333333333,A,35.11416667,-108.09277778,20090705,20090707,35006.0,20090706,255.0,93.0,175.0,0.0,1.7917565,86.667
136,0.45,B,35.28333333,-108.35,20040717,20040718,35006.0,20040718,-89.0,30290.0,-578.0,0.0,1.1490861,105.5
137,0.0055555555555555,A,35.30833333,-107.62083333,20070901,20070918,35006.0,20070901,238.0,78.0,145.0,0.0,1.5800018,117.0
138,0.1,A,35.15388889,-108.26944444,20060608,20060608,35006.0,20060608,210.0,84.0,120.0,203.0,3.2423036,91.2
139,0.0076923076923076,A,35.12027778,-108.02416667,20090818,20090830,35006.0,20090820,213.0,124.0,147.0,0.0,1.4534441,92.1429999999999
140,0.02,A,35.19,-108.43916667,20070609,20070613,35006.0,20070612,152.0,53.0,91.0,0.0,3.4373605000000005,86.667
141,0.0333333333333333,A,35.11222222,-108.18222222,20130630,20130702,35006.0,20130630,299.0,120.0,207.0,0.0,1.2010382,68.143
142,0.0142857142857142,A,35.25138889,-107.65555556,20070720,20070726,35006.0,20070721,250.0,108.0,162.0,0.0,1.903787,85.556
143,0.945,B,35.17,-108.05138889,20051002,20051003,35006.0,20051002,190.0,73.0,122.0,0.0,1.8668215,110.0
144,0.5,B,35.15138889,-108.08722222,20070610,20070615,35006.0,20070612,152.0,53.0,91.0,0.0,3.4373605000000005,86.667
145,0.1142857142857142,B,35.18333333,-107.57555556,20091027,20091116,35006.0,20091103,176.0,2.0,63.0,0.0,0.7844803000000001,103.75
146,0.25,A,35.09611111,-108.15416667,20060719,20060719,35006.0,20060719,255.0,117.0,175.0,0.0,1.051193,95.786
147,0.0055555555555555,A,35.30833333,-107.62083333,20070901,20070918,35006.0,20070907,218.0,73.0,142.0,51.0,1.0463742,117.0
148,0.125,B,35.06916667,-108.20305556,20070720,20070731,35006.0,20070725,246.0,89.0,167.0,76.0,1.4916484,85.556
149,0.05,A,35.04027778,-108.06972222,20120621,20120622,35006.0,20120622,297.0,128.0,212.0,0.0,2.7394123,89.1429999999999
150,1.005,B,35.145,-108.08472222,20070627,20070628,35006.0,20070627,267.0,102.0,191.0,0.0,1.0261083,104.667
151,0.0142857142857142,A,35.25138889,-107.65555556,20070720,20070726,35006.0,20070720,241.0,101.0,171.0,51.0,2.4490368,85.556
152,0.0142857142857142,A,35.24194444,-108.31333333,20070725,20070731,35006.0,20070726,231.0,102.0,143.0,0.0,1.2416878999999998,85.556
153,0.25,B,35.23333333,-108.36444444,20040716,20040717,35006.0,20040716,-286.0,30268.0,-618.0,0.0,1.0071736999999998,105.5
154,0.025,A,34.8653,-107.879303,20120623,20120626,35006.0,20120624,293.0,119.0,208.0,0.0,2.0796373,82.0
156,452.3684210526316,G,35.19805556,-108.14611111,20040612,20040630,35006.0,20040622,-380.0,30162.0,30396.0,0.0,2.1323364,98.5
157,0.0142857142857142,A,35.25138889,-107.65555556,20070720,20070726,35006.0,20070722,205.0,104.0,145.0,0.0,2.220358,104.667
159,0.1142857142857142,B,35.18333333,-107.57555556,20091027,20091116,35006.0,20091109,137.0,-5.0,49.0,0.0,0.36401305,95.25
161,0.1,A,35.08222222,-108.09083333,20070610,20070610,35006.0,20070610,240.0,65.0,154.0,0.0,1.6855023999999998,120.6
162,0.05,A,35.16222222,-107.58222222,20061015,20061016,35006.0,20061016,113.0,8.0,58.0,0.0,3.2408917,95.667
163,452.3684210526316,G,35.19805556,-108.14611111,20040612,20040630,35006.0,20040627,-278.0,30234.0,30389.0,0.0,0.91809946,98.5
165,0.375,B,34.9633333,-107.983889,20100706,20100709,35006.0,20100706,260.0,68.0,178.0,0.0,0.72443223,90.333
166,0.02,A,35.19,-108.43916667,20070609,20070613,35006.0,20070610,240.0,65.0,154.0,0.0,1.6855023999999998,120.6
167,0.125,A,35.08361111,-108.02,20081028,20081029,35006.0,20081029,127.0,-28.0,29.0,0.0,1.2416878999999998,84.833
168,0.125,B,35.06916667,-108.20305556,20070720,20070731,35006.0,20070726,231.0,102.0,143.0,0.0,1.2416878999999998,85.556
169,1.25,B,35.09666667,-108.24861111,20040715,20040715,35006.0,20040715,-138.0,30272.0,-628.0,0.0,1.3305669,105.5
170,0.1142857142857142,B,35.18333333,-107.57555556,20091027,20091116,35006.0,20091105,183.0,30.0,94.0,0.0,1.7541091,103.75
172,0.1999999999999999,B,35.19777778,-108.25277778,20130717,20130719,35006.0,20130719,249.0,98.0,167.0,0.0,1.3845162,88.429
173,0.05,A,35.12444444,-108.21666667,20060719,20060720,35006.0,20060719,255.0,117.0,175.0,0.0,1.051193,95.786
174,0.1,A,35.26805556,-108.21194444,20040622,20040622,35006.0,20040622,-380.0,30162.0,30396.0,0.0,2.1323364,98.5
175,0.009090909090909,A,35.56545,-107.3207,20120706,20120716,35006.0,20120712,252.0,92.0,176.0,0.0,1.487577,91.286
176,0.1,A,35.13861111,-108.08,20060702,20060702,35006.0,20060702,261.0,86.0,167.0,25.0,2.0651908,87.0
177,0.02,A,35.21833333,-107.66583333,20070609,20070613,35006.0,20070610,240.0,65.0,154.0,0.0,1.6855023999999998,120.6
178,0.1142857142857142,B,35.18333333,-107.57555556,20091027,20091116,35006.0,20091110,147.0,8.0,66.0,0.0,1.7315898,95.25
179,0.0833333333333333,A,35.08333333,-108.18138889,20040714,20040716,35006.0,20040715,-138.0,30272.0,-628.0,0.0,1.3305669,105.5
180,0.0066666666666666,A,35.19444444,-107.61722222,20070724,20070807,35006.0,20070725,246.0,89.0,167.0,76.0,1.4916484,85.556
181,0.1666666666666666,B,34.8303,-107.8939,20090626,20090628,35006.0,20090626,206.0,85.0,134.0,0.0,1.6650866000000002,86.667
182,0.125,B,35.06916667,-108.20305556,20070720,20070731,35006.0,20070721,250.0,108.0,162.0,0.0,1.903787,85.556
183,0.05,A,35.16222222,-107.58222222,20061015,20061016,35006.0,20061015,114.0,6.0,40.0,0.0,0.46572104,95.667
184,0.2307692307692307,B,35.16722222,-108.2625,20120708,20120720,35006.0,20120710,226.0,113.0,164.0,0.0,2.6185899,91.286
185,0.009090909090909,A,35.09194444,-108.1725,20090626,20090706,35006.0,20090706,255.0,93.0,175.0,0.0,1.7917565,86.667
186,0.05,A,35.20833333,-107.63472222,20050803,20050804,35006.0,20050804,243.0,82.0,148.0,0.0,1.3805021,111.25
187,0.009090909090909,A,35.56545,-107.3207,20120706,20120716,35006.0,20120713,248.0,110.0,177.0,0.0,1.8146338,91.286
188,0.05,A,35.39944444,-108.47805556,20060718,20060719,35006.0,20060719,255.0,117.0,175.0,0.0,1.051193,95.786
189,0.0311111111111111,A,35.21833333,-107.66583333,20070609,20070613,35006.0,20070611,187.0,64.0,99.0,51.0,1.815718,86.667
190,0.125,A,35.275,-108.39861111,20060719,20060720,35006.0,20060719,255.0,117.0,175.0,0.0,1.051193,95.786
191,0.5,B,35.21388889,-107.24944444,20130723,20130724,35006.0,20130724,238.0,113.0,159.0,0.0,2.044817,88.429
192,0.25,A,35.40638889,-108.45611111,20060719,20060719,35006.0,20060719,255.0,117.0,175.0,0.0,1.051193,95.786
193,0.5,B,35.15138889,-108.08722222,20070610,20070615,35006.0,20070611,187.0,64.0,99.0,51.0,1.815718,86.667
194,0.1,A,35.095,-108.05555556,20040429,20040429,35006.0,20040429,211.0,11.0,111.0,3.0,5.0670910000000005,89.0
195,0.005,A,35.03777778,-108.24,20130630,20130701,35006.0,20130630,299.0,120.0,207.0,0.0,1.2010382,68.143
196,0.1142857142857142,B,35.18333333,-107.57555556,20091027,20091116,35006.0,20091104,184.0,0.0,88.0,0.0,0.43103784,103.75
197,0.1142857142857142,B,35.18333333,-107.57555556,20091027,20091116,35006.0,20091031,133.0,-36.0,27.0,0.0,1.4369393999999998,103.75
198,0.02,A,35.19,-108.43916667,20070609,20070613,35006.0,20070611,187.0,64.0,99.0,51.0,1.815718,86.667
199,0.0166666666666666,A,35.09888889,-108.14333333,20070828,20070911,35006.0,20070828,230.0,83.0,147.0,102.0,0.4639997,117.0
200,0.009090909090909,A,35.09194444,-108.1725,20090626,20090706,35006.0,20090626,206.0,85.0,134.0,0.0,1.6650866000000002,86.667
202,0.0166666666666666,A,35.09888889,-108.14333333,20070828,20070911,35006.0,20070829,242.0,91.0,160.0,0.0,1.3058705,117.0
203,0.0111111111111111,A,34.9436,-107.9636,20070609,20070617,35006.0,20070612,152.0,53.0,91.0,0.0,3.4373605000000005,86.667
204,0.2307692307692307,B,35.16722222,-108.2625,20120708,20120720,35006.0,20120717,236.0,119.0,168.0,0.0,2.3994374,81.0
205,2.0,B,34.9081,-108.0159,20040424,20040425,35006.0,20040425,168.0,-13.0,64.0,0.0,2.3900893,89.0
206,0.1142857142857142,B,35.18333333,-107.57555556,20091027,20091116,35006.0,20091107,171.0,7.0,73.0,0.0,1.1139624,103.75
207,0.1,A,35.09527778,-108.04055556,20060702,20060702,35006.0,20060702,261.0,86.0,167.0,25.0,2.0651908,87.0
208,0.5,B,35.15138889,-108.08722222,20070610,20070615,35006.0,20070615,264.0,90.0,185.0,0.0,0.6139139,86.667
209,0.1,A,35.34055556,-108.46722222,20060723,20060723,35006.0,20060723,268.0,100.0,184.0,0.0,1.4383665,95.786
210,0.0833333333333333,A,35.11416667,-108.09277778,20090705,20090707,35006.0,20090707,250.0,107.0,177.0,0.0,3.5531626000000003,86.667
211,0.01,A,34.79973,-108.17637,20120808,20120817,35006.0,20120808,254.0,104.0,175.0,0.0,1.7407238,82.1429999999999
213,0.0055555555555555,A,35.30833333,-107.62083333,20070901,20070918,35006.0,20070904,217.0,81.0,130.0,25.0,1.3200421,117.0
214,0.5,B,35.23333333,-108.38555556,20040716,20040716,35006.0,20040716,-286.0,30268.0,-618.0,0.0,1.0071736999999998,105.5
215,0.0333333333333333,A,35.11222222,-108.18222222,20130630,20130702,35006.0,20130701,267.0,108.0,182.0,0.0,2.703037,68.143
216,0.45,B,35.28333333,-108.35,20040717,20040718,35006.0,20040717,-82.0,30246.0,-601.0,25.0,1.4660525,105.5
218,0.1,A,35.10583333,-107.9975,20040419,20040419,35006.0,20040419,162.0,-17.0,66.0,0.0,1.5089437,89.0
219,0.1142857142857142,B,35.18333333,-107.57555556,20091027,20091116,35006.0,20091102,168.0,-10.0,54.0,0.0,1.303844,103.75
220,0.0055555555555555,A,35.30833333,-107.62083333,20070901,20070918,35006.0,20070918,177.0,50.0,102.0,0.0,2.0396097,90.0
221,0.0066666666666666,A,35.19444444,-107.61722222,20070724,20070807,35006.0,20070807,192.0,102.0,137.0,0.0,1.7307181,117.0
222,0.1,A,35.27138889,-107.68833333,20070702,20070702,35006.0,20070702,295.0,93.0,203.0,0.0,0.39051482,85.556
223,0.1,A,35.25166667,-108.27138889,20070720,20070720,35006.0,20070720,241.0,101.0,171.0,51.0,2.4490368,85.556
224,0.0166666666666666,A,35.09888889,-108.14333333,20070828,20070911,35006.0,20070904,217.0,81.0,130.0,25.0,1.3200421,117.0
225,452.3684210526316,G,35.19805556,-108.14611111,20040612,20040630,35006.0,20040623,-175.0,30172.0,30459.0,0.0,1.4516964,98.5
226,0.1142857142857142,B,35.18333333,-107.57555556,20091027,20091116,35006.0,20091101,166.0,-14.0,51.0,0.0,1.2713736999999998,103.75
227,0.0111111111111111,A,34.9436,-107.9636,20070609,20070617,35006.0,20070615,264.0,90.0,185.0,0.0,0.6139139,86.667
228,0.125,A,35.08361111,-108.02,20081028,20081029,35006.0,20081028,127.0,-28.0,29.0,0.0,1.1236109,84.833
229,0.125,B,35.06916667,-108.20305556,20070720,20070731,35006.0,20070720,241.0,101.0,171.0,51.0,2.4490368,85.556
230,452.3684210526316,G,35.19805556,-108.14611111,20040612,20040630,35006.0,20040629,-334.0,30166.0,30293.0,229.0,1.1871348999999998,98.5
231,1.8,B,35.30194444,-108.31777778,20040717,20040717,35006.0,20040717,-82.0,30246.0,-601.0,25.0,1.4660525,105.5
232,1.3,B,35.23333333,-108.32222222,20040622,20040623,35006.0,20040623,-175.0,30172.0,30459.0,0.0,1.4516964,98.5
234,0.25,A,35.06583333,-108.25166667,20070616,20070616,35006.0,20070616,266.0,116.0,183.0,0.0,1.118034,86.333
235,0.125,B,35.06916667,-108.20305556,20070720,20070731,35006.0,20070722,205.0,104.0,145.0,0.0,2.220358,104.667
236,0.0125,A,34.6736,-107.8444,20060718,20060725,35006.0,20060723,268.0,100.0,184.0,0.0,1.4383665,95.786
237,0.0333333333333333,A,35.14972222,-108.31555556,20130702,20130704,35006.0,20130702,263.0,95.0,159.0,127.0,1.9962522,87.286
238,0.0111111111111111,A,34.9436,-107.9636,20070609,20070617,35006.0,20070617,244.0,111.0,179.0,0.0,2.777207,86.333
239,0.0076923076923076,A,35.12027778,-108.02416667,20090818,20090830,35006.0,20090818,200.0,119.0,145.0,0.0,1.4392388,92.1429999999999
240,0.0833333333333333,A,35.08333333,-108.18138889,20040714,20040716,35006.0,20040716,-286.0,30268.0,-618.0,0.0,1.0071736999999998,105.5
241,0.25,B,35.2175,-108.38444444,20060628,20060629,35006.0,20060628,257.0,78.0,167.0,0.0,1.311071,87.0
242,0.0166666666666666,A,35.09888889,-108.14333333,20070828,20070911,35006.0,20070901,238.0,78.0,145.0,0.0,1.5800018,117.0
243,0.125,A,35.06833333,-108.13472222,20120712,20120713,35006.0,20120713,248.0,110.0,177.0,0.0,1.8146338,91.286
244,0.25,B,35.2552778,-107.671111,20100606,20100607,35006.0,20100606,306.0,103.0,204.0,0.0,0.99999696,102.667
245,0.0111111111111111,A,34.9436,-107.9636,20070609,20070617,35006.0,20070616,266.0,116.0,183.0,0.0,1.118034,86.333
246,0.5,B,34.9222,-108.1769,20070824,20070825,35006.0,20070824,254.0,109.0,173.0,0.0,2.0690365,117.0
247,0.0142857142857142,A,35.25138889,-107.65555556,20070720,20070726,35006.0,20070725,246.0,89.0,167.0,76.0,1.4916484,85.556
248,0.75,B,34.6834,-107.8506,20050726,20050729,35006.0,20050729,322.0,106.0,217.0,0.0,1.9608759,111.25
249,1.3333333333333333,B,35.2813889,-107.615833,20100627,20100629,35006.0,20100628,214.0,93.0,142.0,25.0,2.3584947999999994,103.286
250,0.0166666666666666,A,35.09888889,-108.14333333,20070828,20070911,35006.0,20070906,200.0,93.0,130.0,51.0,2.0839615,117.0
251,0.25,B,35.23333333,-108.36444444,20040716,20040717,35006.0,20040717,-82.0,30246.0,-601.0,25.0,1.4660525,105.5
253,0.25,B,35.2552778,-107.671111,20100606,20100607,35006.0,20100607,276.0,125.0,194.0,0.0,2.1272044,102.667
254,0.5,B,35.15138889,-108.08722222,20070610,20070615,35006.0,20070613,209.0,51.0,129.0,0.0,3.1312919,86.667
255,0.05,A,35.04027778,-108.06972222,20120621,20120622,35006.0,20120621,288.0,102.0,197.0,0.0,2.0848212,89.1429999999999
256,0.0055555555555555,A,35.30833333,-107.62083333,20070901,20070918,35006.0,20070915,238.0,79.0,146.0,0.0,2.2135992,90.0
258,0.1142857142857142,B,35.18333333,-107.57555556,20091027,20091116,35006.0,20091108,134.0,4.0,59.0,0.0,2.0212169,95.25
259,0.01,A,34.79973,-108.17637,20120808,20120817,35006.0,20120810,266.0,115.0,185.0,0.0,1.8569868000000005,82.1429999999999
260,0.0055555555555555,A,35.30833333,-107.62083333,20070901,20070918,35006.0,20070905,203.0,97.0,138.0,25.0,1.5741006000000002,117.0
261,0.21,A,35.08666667,-108.3525,20060609,20060609,35006.0,20060609,230.0,79.0,150.0,0.0,1.4803435,91.2
262,2.0,B,34.9081,-108.0159,20040424,20040425,35006.0,20040424,161.0,11.0,89.0,0.0,0.9002162,89.0
263,0.0166666666666666,A,35.09888889,-108.14333333,20070828,20070911,35006.0,20070905,203.0,97.0,138.0,25.0,1.5741006000000002,117.0
264,0.02,A,35.21833333,-107.66583333,20070609,20070613,35006.0,20070612,152.0,53.0,91.0,0.0,3.4373605000000005,86.667
265,0.5,B,35.39333333,-108.59916667,20040806,20040807,35006.0,20040806,-497.0,30264.0,30413.0,25.0,1.8023523,115.0
266,0.25,B,35.1475,-107.606389,20101016,20101017,35006.0,20101016,178.0,24.0,85.0,0.0,1.0542367,90.1429999999999
267,0.0066666666666666,A,35.19444444,-107.61722222,20070724,20070807,35006.0,20070806,223.0,105.0,136.0,152.0,1.7117209999999998,85.556
268,0.2307692307692307,B,35.16722222,-108.2625,20120708,20120720,35006.0,20120712,252.0,92.0,176.0,0.0,1.487577,91.286
269,0.05,A,35.02664,-107.81369,20120601,20120602,35006.0,20120602,250.0,117.0,180.0,0.0,2.4167793,89.6
270,0.0142857142857142,A,35.24194444,-108.31333333,20070725,20070731,35006.0,20070725,246.0,89.0,167.0,76.0,1.4916484,85.556
271,1.0,B,35.12444444,-108.2275,20070716,20070717,35006.0,20070716,282.0,121.0,193.0,0.0,0.7102189999999999,85.556
272,0.009090909090909,A,35.09194444,-108.1725,20090626,20090706,35006.0,20090701,241.0,114.0,164.0,0.0,2.252205,86.667
273,0.1,A,34.9336,-107.9842,20070904,20070904,35006.0,20070904,217.0,81.0,130.0,25.0,1.3200421,117.0
274,452.3684210526316,G,35.19805556,-108.14611111,20040612,20040630,35006.0,20040628,-551.0,30222.0,30369.0,0.0,2.443862,98.5
275,0.0333333333333333,A,35.11222222,-108.18222222,20130630,20130702,35006.0,20130702,263.0,95.0,159.0,127.0,1.9962522,87.286
