,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,40.57138889,-111.77055556,20150826,20150826,49035.0,20150826,184.0,105.0,145.0,0.0,2.0519807,97.0
1,0.1,A,40.61194444,-111.71472222,20130808,20130808,49035.0,20130808,178.0,101.0,141.0,0.0,2.356966,95.0
2,0.1222222222222222,B,40.4633,-112.1006,20100816,20100824,49035.0,20100821,239.0,114.0,173.0,0.0,4.020315,92.0
3,0.1222222222222222,B,40.4633,-112.1006,20100816,20100824,49035.0,20100824,204.0,68.0,144.0,0.0,0.89375174,92.0
4,0.1,A,40.68972222,-111.77416667,20120424,20120424,49035.0,20120424,224.0,101.0,163.0,0.0,3.1941261,219.0
5,0.1222222222222222,B,40.4633,-112.1006,20100816,20100824,49035.0,20100819,193.0,97.0,136.0,127.0,1.6336808,92.0
6,11.32222222222222,B,40.4633,-112.1006,20100816,20100824,49035.0,20100818,236.0,119.0,176.0,0.0,3.6490119,92.0
7,11.32222222222222,C,40.7431,-111.7653,20100815,20100819,49035.0,20100817,279.0,108.0,185.0,0.0,1.9779847,92.0
8,11.32222222222222,B,40.4633,-112.1006,20100816,20100824,49035.0,20100816,220.0,97.0,156.0,0.0,1.7207278999999998,96.0
9,11.2,C,40.7431,-111.7653,20100815,20100819,49035.0,20100815,289.0,120.0,195.0,0.0,1.7090672999999998,96.0
10,0.05,A,40.4911,-112.1132,20150914,20150915,49035.0,20150914,223.0,108.0,157.0,0.0,4.010767,97.0
11,0.05,A,40.4911,-112.1132,20150914,20150915,49035.0,20150915,95.0,35.0,76.0,330.0,4.909748,97.0
12,480.6666666666667,F,40.4092,-112.080903,20100919,20100927,49035.0,20100919,202.0,135.0,163.0,0.0,4.1353765,83.0
13,0.1,A,40.68138889,-111.64722222,20150907,20150907,49035.0,20150907,147.0,76.0,113.0,0.0,2.30895,97.0
14,480.6666666666667,F,40.4092,-112.080903,20100919,20100927,49035.0,20100920,181.0,87.0,125.0,0.0,2.9538138,83.0
15,480.6666666666667,F,40.4092,-112.080903,20100919,20100927,49035.0,20100921,230.0,58.0,133.0,0.0,2.1378524,83.0
16,480.6666666666667,F,40.4092,-112.080903,20100919,20100927,49035.0,20100922,186.0,60.0,130.0,25.0,4.7716255,83.0
17,480.6666666666667,F,40.4092,-112.080903,20100919,20100927,49035.0,20100923,133.0,52.0,84.0,0.0,3.1700613,83.0
18,0.5,B,40.5131,-112.0753,20100708,20100708,49035.0,20100708,232.0,111.0,162.0,0.0,0.94201094,113.0
19,480.6666666666667,F,40.4092,-112.080903,20100919,20100927,49035.0,20100925,219.0,103.0,159.0,0.0,0.5660369000000001,83.0
20,480.6666666666667,F,40.4092,-112.080903,20100919,20100927,49035.0,20100926,239.0,96.0,149.0,0.0,1.0031968,83.0
21,480.6666666666667,F,40.4092,-112.080903,20100919,20100927,49035.0,20100927,192.0,121.0,157.0,0.0,0.52810925,83.0
22,2.333333333333333,B,40.5831,-111.7949,20150901,20150903,49035.0,20150903,317.0,233.0,279.0,0.0,6.1068096,97.0
23,0.1222222222222222,B,40.4633,-112.1006,20100816,20100824,49035.0,20100820,206.0,63.0,143.0,0.0,2.2377312000000003,92.0
24,2.333333333333333,B,40.5831,-111.7949,20150901,20150903,49035.0,20150902,241.0,130.0,185.0,0.0,5.240468,97.0
