,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.0333333333333333,A,37.49638889,-107.18472222,20140801,20140803,8053.0,20140802,170.0,47.0,102.0,25.0,1.4534352,58.75
1,0.1,A,38.02222222,-107.18833333,20130626,20130626,8053.0,20130626,235.0,45.0,144.0,0.0,1.6007825,41.0
2,0.009090909090909,A,38.0108,-107.3825,20140713,20140723,8053.0,20140716,165.0,58.0,106.0,51.0,2.236064,61.75
3,0.1,A,38.0475,-107.40555556,20120916,20120916,8053.0,20120916,161.0,20.0,80.0,0.0,2.6856167,64.0
4,0.01,A,37.49777778,-107.1875,20140805,20140814,8053.0,20140809,185.0,44.0,110.0,0.0,2.1292727000000005,50.25
5,0.01,A,37.49777778,-107.1875,20140805,20140814,8053.0,20140814,158.0,54.0,105.0,25.0,2.4282484,77.5
6,0.0333333333333333,A,37.49638889,-107.18472222,20140801,20140803,8053.0,20140801,158.0,48.0,84.0,25.0,1.1766027,58.75
7,0.1,A,37.53333333,-107.22416667,20130526,20130526,8053.0,20130526,229.0,7.0,102.0,0.0,3.2088735,45.75
8,0.1,A,37.45416667,-107.215,20130701,20130701,8053.0,20130701,199.0,53.0,130.0,0.0,1.2041556999999998,69.75
9,0.1,A,37.42833333,-107.36972222,20130515,20130515,8053.0,20130515,123.0,12.0,64.0,0.0,1.6704537,55.0
10,0.01,A,37.49777778,-107.1875,20140805,20140814,8053.0,20140807,189.0,69.0,124.0,0.0,0.4368035,50.25
11,0.01,A,37.49777778,-107.1875,20140805,20140814,8053.0,20140805,166.0,50.0,98.0,51.0,2.2661426,50.25
12,0.009090909090909,A,38.0108,-107.3825,20140713,20140723,8053.0,20140720,250.0,55.0,128.0,0.0,2.018025,89.667
13,0.3,B,38.07586,-107.04247,20120526,20120526,8053.0,20120526,175.0,-2.0,107.0,0.0,5.4310584,45.75
14,0.009090909090909,A,38.0108,-107.3825,20140713,20140723,8053.0,20140719,244.0,83.0,149.0,0.0,1.8940477,89.667
15,0.01,A,37.49777778,-107.1875,20140805,20140814,8053.0,20140812,180.0,50.0,108.0,0.0,1.4150946000000002,50.25
16,0.1,A,37.51833333,-107.25333333,20130526,20130526,8053.0,20130526,229.0,7.0,102.0,0.0,3.2088735,45.75
17,0.009090909090909,A,38.0108,-107.3825,20140713,20140723,8053.0,20140721,207.0,85.0,137.0,0.0,2.5064712000000005,89.667
18,0.009090909090909,A,38.0108,-107.3825,20140713,20140723,8053.0,20140713,185.0,90.0,129.0,51.0,1.8513149,61.75
19,0.1,A,37.54055556,-107.20916667,20120519,20120519,8053.0,20120519,126.0,-3.0,53.0,0.0,2.33807,55.75
20,0.009090909090909,A,38.0108,-107.3825,20140713,20140723,8053.0,20140722,278.0,59.0,169.0,51.0,1.0272763,89.667
21,0.009090909090909,A,38.0108,-107.3825,20140713,20140723,8053.0,20140718,186.0,84.0,142.0,0.0,1.3781816999999998,89.667
22,0.009090909090909,A,38.0108,-107.3825,20140713,20140723,8053.0,20140723,228.0,94.0,149.0,0.0,2.134323,89.667
23,1.0,B,37.49888889,-107.22444444,20130423,20130423,8053.0,20130423,53.0,-84.0,-5.0,0.0,1.536516,53.0
24,0.05,A,37.97753,-107.55372,20150926,20150927,8053.0,20150926,232.0,24.0,118.0,0.0,0.9953015,51.75
25,0.01,A,37.49777778,-107.1875,20140805,20140814,8053.0,20140813,157.0,75.0,112.0,0.0,1.3313577,50.25
26,0.01,A,37.49777778,-107.1875,20140805,20140814,8053.0,20140810,185.0,55.0,111.0,0.0,1.7661557,50.25
27,0.01,A,37.49777778,-107.1875,20140805,20140814,8053.0,20140806,196.0,69.0,128.0,0.0,1.7502571,50.25
28,0.01,A,37.49777778,-107.1875,20140805,20140814,8053.0,20140811,182.0,12.0,109.0,0.0,1.8031383,50.25
29,0.01,A,37.49777778,-107.1875,20140805,20140814,8053.0,20140808,190.0,58.0,122.0,0.0,0.711967,50.25
30,0.009090909090909,A,38.0108,-107.3825,20140713,20140723,8053.0,20140715,199.0,63.0,120.0,0.0,1.7156432,61.75
31,0.009090909090909,A,38.0108,-107.3825,20140713,20140723,8053.0,20140714,210.0,80.0,139.0,0.0,1.1704645,61.75
32,0.009090909090909,A,38.0108,-107.3825,20140713,20140723,8053.0,20140717,179.0,63.0,119.0,0.0,0.74330056,61.75
33,0.0333333333333333,A,37.49638889,-107.18472222,20140801,20140803,8053.0,20140803,179.0,70.0,105.0,0.0,1.1795756000000002,58.75
34,0.05,A,37.97753,-107.55372,20150926,20150927,8053.0,20150927,192.0,32.0,99.0,0.0,2.1552262000000004,51.75
35,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20130927,36.0,-79.0,-10.0,152.0,3.3050566,92.75
37,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20130803,213.0,70.0,123.0,0.0,1.8272622,65.0
38,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20130713,194.0,62.0,122.0,0.0,1.4446201,87.0
39,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20130723,228.0,108.0,152.0,0.0,1.1021816999999998,82.167
40,0.0333333333333333,A,37.54305556,-107.21638889,20130713,20130715,8053.0,20130713,194.0,62.0,122.0,0.0,1.4446201,87.0
41,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20130804,174.0,62.0,102.0,51.0,1.2756605,65.0
42,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20131011,82.0,-52.0,5.0,0.0,3.8200598,58.0
43,0.05,A,37.96666667,-107.15,20130804,20130805,8053.0,20130804,174.0,62.0,102.0,51.0,1.2756605,65.0
44,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20131010,20.0,-58.0,-14.0,279.0,2.4026086,79.667
45,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20131007,166.0,1.0,68.0,0.0,1.6606705000000002,79.667
48,0.05,A,37.83333333,-107.20027778,20130728,20130729,8053.0,20130728,156.0,64.0,88.0,25.0,1.5232896,81.75
49,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20130725,196.0,73.0,128.0,0.0,1.5294694,82.167
50,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20130928,89.0,-81.0,5.0,0.0,1.748665,92.75
51,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20131009,101.0,2.0,40.0,0.0,1.6090118,79.667
52,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20130719,161.0,58.0,94.0,178.0,1.1639941,82.167
53,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20131008,123.0,-1.0,59.0,0.0,3.4014797,79.667
54,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20130727,192.0,72.0,111.0,76.0,2.7324681,81.75
55,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20130721,202.0,78.0,134.0,0.0,1.3692704,82.167
56,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20130720,196.0,65.0,130.0,0.0,0.55072516,82.167
57,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20130929,121.0,-11.0,45.0,0.0,2.0402195,79.667
58,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20131013,70.0,-17.0,15.0,0.0,2.6386604,58.0
59,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20130930,130.0,24.0,77.0,0.0,3.0463805,79.667
60,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20131001,162.0,21.0,79.0,0.0,1.430046,79.667
61,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20131002,141.0,15.0,68.0,0.0,3.262045,79.667
62,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20131003,111.0,14.0,55.0,0.0,4.210333,79.667
63,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20130726,189.0,82.0,127.0,0.0,1.4001398,81.75
64,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20131004,-4.0,-96.0,-58.0,25.0,2.8653069,79.667
65,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20131005,65.0,-59.0,-3.0,0.0,2.922051,79.667
66,367.6148148148148,G,37.68333333,-107.16666667,20130619,20131031,8053.0,20131012,51.0,-64.0,-13.0,25.0,1.0340736,58.0
